,node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
114,CDK1,92233720368547.77,1.26559,61.0,61.0,90.406,29.0,0.19306,103.06667,6.73978,1066.92955,11712.0,0.74973
138,FOXM1,92233720368547.77,1.27838,58.0,60.0,90.406,7.0,0.19306,102.73333,6.7456,1423.65694,13248.0,0.71864
127,BUB1,92233720368547.77,1.34329,59.0,59.0,90.406,1.0,0.16089,97.43333,6.52462,153.69669,3970.0,0.80421
111,CCNB2,92233720368547.77,1.35275,58.0,58.0,90.406,1.0,0.16089,96.93333,6.5188,182.50075,3832.0,0.81428
115,AURKB,92233720368547.77,1.38089,58.0,58.0,90.406,1.0,0.16089,96.93333,6.5188,90.65269,3718.0,0.83122
116,CDC45,92233720368547.77,1.38089,58.0,58.0,90.406,5.0,0.16089,96.93333,6.5188,90.65269,3718.0,0.83122
133,TOP2A,92233720368547.77,1.37486,58.0,58.0,90.406,1.0,0.19306,99.26667,6.61766,280.02448,6936.0,0.82759
145,TTK,92233720368547.77,1.37084,58.0,58.0,90.406,1.0,0.16089,96.76667,6.51299,115.22046,3992.0,0.82517
121,BIRC5,92233720368547.77,1.36682,58.0,58.0,90.406,2.0,0.19306,101.4,6.71652,847.03032,10410.0,0.82275
109,CENPA,92233720368547.77,1.37989,57.0,58.0,90.406,6.0,0.16089,98.6,6.5944,1120.03945,8252.0,0.80641
130,NUF2,92233720368547.77,1.35815,57.0,58.0,90.406,11.0,0.19306,99.68333,6.63511,848.81073,8932.0,0.79371
112,BUB1B,92233720368547.77,1.40576,57.0,57.0,90.406,1.0,0.16089,96.26667,6.50717,77.59754,3528.0,0.85088
113,RRM2,92233720368547.77,1.39231,57.0,57.0,90.406,1.0,0.16089,96.43333,6.51299,84.43896,3520.0,0.84273
143,ASPM,92233720368547.77,1.3716,57.0,57.0,90.406,1.0,0.16089,96.51667,6.5188,284.80639,5004.0,0.8302
128,PBK,92233720368547.77,1.40266,57.0,57.0,90.406,1.0,0.19306,98.76667,6.61185,268.67045,6726.0,0.849
136,MELK,92233720368547.77,1.4359,56.0,56.0,90.406,1.0,0.16089,95.76667,6.50136,66.24351,3318.0,0.87403
135,MKI67,92233720368547.77,1.36656,56.0,56.0,90.406,2.0,0.19306,98.26667,6.60603,428.28806,6856.0,0.83182
134,MCM10,92233720368547.77,1.41563,56.0,56.0,90.406,1.0,0.16089,92.33333,6.30946,31.31278,908.0,0.86169
129,ESPL1,92233720368547.77,1.35056,56.0,56.0,90.406,4.0,0.16089,92.41667,6.31527,165.01279,1890.0,0.82208
118,KIF20A,92233720368547.77,1.41884,56.0,56.0,90.406,2.0,0.16089,95.6,6.49554,93.2167,3512.0,0.86364
139,NDC80,92233720368547.77,1.40247,55.0,55.0,90.311,1.0,0.16089,95.51667,6.50717,242.38955,4644.0,0.85859
125,KIF4A,92233720368547.77,1.45637,55.0,55.0,90.406,1.0,0.16089,95.1,6.48973,59.26399,3074.0,0.89158
120,DLGAP5,92233720368547.77,1.4696,54.0,55.0,90.406,9.0,0.16089,95.26667,6.49554,291.77407,3800.0,0.87205
117,HJURP,92233720368547.77,1.39147,55.0,55.0,90.406,4.0,0.16089,92.08333,6.31527,171.89101,1504.0,0.85185
141,KIF2C,92233720368547.77,1.45637,55.0,55.0,90.406,2.0,0.16089,95.1,6.48973,59.26399,3074.0,0.89158
151,E2F8,92233720368547.77,1.41854,54.0,54.0,90.406,1.0,0.16089,94.93333,6.49554,68.72044,3134.0,0.87352
131,UBE2C,92233720368547.77,1.44325,53.0,53.0,90.406,1.0,0.16089,94.1,6.4781,51.65072,2596.0,0.89405
148,CDC25C,92233720368547.77,1.34719,53.0,53.0,90.406,1.0,0.19306,94.58333,6.49554,205.10976,3698.0,0.83454
142,NCAPG,92233720368547.77,1.47488,53.0,53.0,90.406,1.0,0.16089,94.1,6.4781,50.90035,2754.0,0.91364
124,CEP55,92233720368547.77,1.47986,52.0,52.0,90.406,1.0,0.16089,93.6,6.47228,49.86564,2720.0,0.92232
